Designator,Mid  X,Mid Y,Layer,Rotation
C1,248.020000,-51.680000,bottom,-90.000000
C6,300.420000,-174.650000,bottom,-90.000000
C12,229.420000,-53.730000,bottom,180.000000
C15,252.220000,-143.680000,bottom,-90.000000
C16,269.760000,-31.750000,bottom,90.000000
C17,298.020000,-61.680000,bottom,-90.000000
C18,269.940000,-167.490000,bottom,90.000000
C19,249.820000,-188.380000,bottom,-90.000000
C20,290.070000,-53.840000,bottom,0.000000
C21,267.030000,-187.580000,bottom,0.000000
C22,270.070000,-48.150000,bottom,0.000000
C23,260.020000,-130.780000,bottom,-90.000000
C25,235.380000,-27.440000,bottom,180.000000
C26,236.870000,-187.630000,bottom,180.000000
C2,300.220000,-130.630000,top,0.000000
C3,305.980000,-108.390000,top,0.000000
C4,300.020000,-103.030000,top,180.000000
C5,305.860000,-124.370000,top,180.000000
C7,305.820000,-144.630000,top,180.000000
C8,305.820000,-127.230000,top,180.000000
C9,300.250000,-149.450000,top,0.000000
C10,300.020000,-85.030000,top,180.000000
C11,286.050000,-42.620000,top,180.000000
C13,286.050000,-45.840000,top,0.000000
C14,306.020000,-105.630000,top,180.000000
C24,306.090000,-87.060000,top,180.000000
D1,306.620000,-114.030000,top,180.000000
D2,282.020000,-42.830000,top,0.000000
R1,300.180000,-134.970000,top,180.000000
R2,300.020000,-100.230000,top,180.000000
R3,300.230000,-152.380000,top,180.000000
R4,300.020000,-82.030000,top,180.000000
